EXCH,SEGMENT,SECURITY_ID,INSTRUMENT_NAME,EXPIRY_CODE,TRADING_SYMBOL,LOT_UNITS,CUSTOM_SYMBOL,EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SERIES,SYMBOL_NAME
NSE,D,49881,OPTSTK,28 Jul 2026,SIEMENS-Jul2026-2700-CE,175,SIEMENS 28 JUL 2700 CE,07/28/2026 14:00,2700.00000,CE,5,M,OPTSTK,,
NSE,D,98953,OPTSTK,28 Jul 2026,HINDALCO-Jul2026-780-PE,700,HINDALCO 28 JUL 780 PE,07/28/2026 14:00,780.00000,PE,5,M,OPTSTK,,
NSE,D,45080,OPTIDX,18 Aug 2026,NIFTY-Aug2026-23850-CE,65,NIFTY 18 AUG 23850 CE,08/18/2026 14:00,23850.00000,CE,5,W,OPTIDX,,
NSE,D,56706,OPTSTK,28 Jul 2026,ASTRAL-Jul2026-1000-CE,425,ASTRAL 28 JUL 1000 CE,07/28/2026 14:00,1000.00000,CE,5,M,OPTSTK,,
BSE,D,840174,OPTIDX,06 Aug 2026,SENSEX-06Aug2026-76200-CE,20,SENSEX 06 AUG 76200 CE,08/06/2026 14:00,76200.00000,CE,5,W,OPTIDX,,BSXOPT
NSE,D,55795,OPTSTK,25 Aug 2026,PNB-Aug2026-72-PE,8000,PNB 25 AUG 72 PE,08/25/2026 14:00,72.00000,PE,1,M,OPTSTK,,
NSE,D,153300,OPTSTK,28 Jul 2026,WAAREEENER-Jul2026-2450-PE,175,WAAREEENER 28 JUL 2450 PE,07/28/2026 14:00,2450.00000,PE,5,M,OPTSTK,,
NSE,D,126503,OPTSTK,29 Sep 2026,MARUTI-Sep2026-17600-CE,50,MARUTI 29 SEP 17600 CE,09/29/2026 14:00,17600.00000,CE,5,M,OPTSTK,,
NSE,D,35983,OPTSTK,28 Jul 2026,KPITTECH-Jul2026-300-PE,775,KPITTECH 28 JUL 300 PE,07/28/2026 14:00,300.00000,PE,5,M,OPTSTK,,
NSE,D,98423,OPTSTK,28 Jul 2026,HCLTECH-Jul2026-1090-PE,400,HCLTECH 28 JUL 1090 PE,07/28/2026 14:00,1090.00000,PE,5,M,OPTSTK,,
NSE,D,44729,OPTSTK,25 Aug 2026,PGEL-Aug2026-750-CE,950,PGEL 25 AUG 750 CE,08/25/2026 14:00,750.00000,CE,5,M,OPTSTK,,
NSE,D,154276,OPTSTK,29 Sep 2026,TIINDIA-Sep2026-3200-CE,200,TIINDIA 29 SEP 3200 CE,09/29/2026 14:00,3200.00000,CE,5,M,OPTSTK,,
NSE,D,72226,OPTSTK,25 Aug 2026,ASTRAL-Aug2026-960-PE,425,ASTRAL 25 AUG 960 PE,08/25/2026 14:00,960.00000,PE,5,M,OPTSTK,,
NSE,D,35896,OPTSTK,28 Jul 2026,HAVELLS-Jul2026-900-PE,500,HAVELLS 28 JUL 900 PE,07/28/2026 14:00,900.00000,PE,5,M,OPTSTK,,
NSE,D,65026,OPTIDX,28 Jul 2026,NIFTYNXT50-Jul2026-81700-CE,25,NIFTYNXT50 28 JUL 81700 CE,07/28/2026 14:00,81700.00000,CE,5,M,OPTIDX,,
NSE,D,40670,OPTSTK,28 Jul 2026,TVSMOTOR-Jul2026-4750-PE,175,TVSMOTOR 28 JUL 4750 PE,07/28/2026 14:00,4750.00000,PE,5,M,OPTSTK,,
